new,host,a,cname,mx,soa,ns,txt,caa,status_code,cdn,cdn-name,aaaa
,app.flourish.studio,"52.213.48.171, 52.212.12.211, 34.250.31.231",,"mxb.mailgun.org, mxa.mailgun.org","ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,google-site-verification=KH6Srri6nbkbSkz9RNSTiH4zHsKxsByhjC2h9IGOy4Y,,NOERROR,,,
,demos.flourish.studio,"18.66.112.26, 18.66.112.98, 18.66.112.14, 18.66.112.113",,,"ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,
,email.flourish.studio,34.110.180.34,mailgun.org,"mxb.mailgun.org, mxa.mailgun.org","ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","ns-1482.awsdns-57.org, ns-586.awsdns-09.net, ns-1614.awsdns-09.co.uk, ns-133.awsdns-16.com","v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA",";, digicert.com, letsencrypt.org",NOERROR,True,google,
,flourish.studio,"13.32.27.89, 13.32.27.94, 13.32.27.62, 13.32.27.128",,"mxb.mailgun.org, mxa.mailgun.org","ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com","ns-1905.awsdns-46.co.uk, ns-1257.awsdns-29.org, ns-351.awsdns-43.com, ns-882.awsdns-46.net","google-site-verification=2HbfBQqbEiELcjRXUbY4Ac4RQExtxUAJPH547Di7P_s, v=spf1 include:mailgun.org include:servers.mcsv.net include:helpscoutemail.com ~all",,NOERROR,True,cloudfront,"2600:9000:211e:d200:e:d0ad:5ac0:93a1, 2600:9000:211e:7800:e:d0ad:5ac0:93a1, 2600:9000:211e:7000:e:d0ad:5ac0:93a1, 2600:9000:211e:6400:e:d0ad:5ac0:93a1, 2600:9000:211e:b200:e:d0ad:5ac0:93a1, 2600:9000:211e:3000:e:d0ad:5ac0:93a1, 2600:9000:211e:d800:e:d0ad:5ac0:93a1, 2600:9000:211e:1600:e:d0ad:5ac0:93a1"
,fonts.xyzbmojn.net,"104.21.88.81, 172.67.174.78",,,"miki.ns.cloudflare.com, dns.cloudflare.com",,,,NOERROR,True,cloudflare,"2606:4700:3033::ac43:ae4e, 2606:4700:3033::6815:5851"
,help.flourish.studio,"52.73.219.150, 54.235.72.83, 54.152.25.190",flourish-kiln.helpscoutdocs.com,,"ns-1428.awsdns-50.org, awsdns-hostmaster.amazon.com",,,letsencrypt.org,NOERROR,,,
,icons.flourish.studio,"13.249.39.106, 13.249.39.5, 13.249.39.8, 13.249.39.123",,,"ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,
,public.dev.flourish.studio,"18.65.39.57, 18.65.39.97, 18.65.39.45, 18.65.39.61",,,"ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,
,public.flourish.studio,"13.227.219.126, 13.227.219.39, 13.227.219.116, 13.227.219.125",,,"ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,google-site-verification=E6o3-j0UvphgGNR5sGDBL0yVsCqcbmgYAbLKFEtEUak,,NOERROR,True,cloudfront,
,resources.flourish.studio,"65.9.66.116, 65.9.66.111, 65.9.66.21, 65.9.66.127",,,"ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,
,tempfiles201706.flourish.studio,"52.222.174.98, 52.222.174.36, 52.222.174.104, 52.222.174.21",,,"ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,
,tiles.flourish.studio,"13.32.99.9, 13.32.99.52, 13.32.99.4, 13.32.99.90",,,"ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,
,training.flourish.studio,"35.169.200.225, 54.243.250.147","flourish-training.thinkific.com, service-ingress-nlb-aa22054cc4e377d0.elb.us-east-1.amazonaws.com",,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com","ns-1286.awsdns-32.org, ns-1826.awsdns-36.co.uk, ns-281.awsdns-35.com, ns-844.awsdns-41.net, ns-1257.awsdns-29.org, ns-1905.awsdns-46.co.uk, ns-351.awsdns-43.com, ns-882.awsdns-46.net",,,NOERROR,,,
,www.flourish.studio,"18.172.153.10, 18.172.153.94, 18.172.153.64, 18.172.153.16",,,"ns-1905.awsdns-46.co.uk, awsdns-hostmaster.amazon.com","ns-1257.awsdns-29.org, ns-1905.awsdns-46.co.uk, ns-351.awsdns-43.com, ns-882.awsdns-46.net",,,NOERROR,True,cloudfront,
,xyzbmojn.net,"104.21.88.81, 172.67.174.78",,,"miki.ns.cloudflare.com, dns.cloudflare.com","miki.ns.cloudflare.com, miles.ns.cloudflare.com",v=spf1 -all,,NOERROR,True,cloudflare,"2606:4700:3033::6815:5851, 2606:4700:3033::ac43:ae4e"
